TARIH SAAT;RAF1;RAF2;RAF3;RAF4;L_PRES;H_PRES;VACUM;SERP2;SERP4;KONDANSER
2026-01-26-11:08:17.626;8.859259;9.034616;9.007692;9.123078;2.997277;-4.872636;1.607629E-05;10.0;10.0;7.5
2026-01-26-11:11:17.176;8.866666;9.038463;9.003846;9.123078;2.994912;-4.867905;1.607865E-05;9.900001;9.900001;7.6
2026-01-26-11:15:28.260;8.862962;9.026923;9.007692;9.13077;-2.77005;6.68567;1.607839E-05;9.900001;9.900001;7.700001
2026-01-26-11:18:27.660;8.866666;9.03077;9.015386;9.123078;-2.77005;6.692765;1.60768E-05;9.900001;9.900001;7.8
2026-01-26-11:21:27.661;8.866666;9.038463;9.003846;9.126925;-2.77005;6.69986;1.607912E-05;10.0;10.0;7.8
2026-01-26-11:24:27.861;8.866667;9.038462;9.011539;9.115386;-2.77005;6.711686;1.607652E-05;10.0;10.0;7.8
2026-01-26-11:27:27.861;8.870369;9.034616;9.015385;9.13077;-2.77005;6.728242;1.607984E-05;10.0;10.0;7.700001
2026-01-26-11:30:28.061;8.874073;9.034616;9.019231;9.123078;-2.77005;6.735337;1.607989E-05;10.0;10.0;7.8
2026-01-26-11:33:28.061;8.874073;9.042309;9.023077;9.138462;-2.76532;6.740067;1.607985E-05;10.0;10.0;7.8
2026-01-26-11:36:28.261;8.877777;9.042309;9.023077;9.134617;-2.766503;6.749528;1.607951E-05;10.0;10.0;7.9
2026-01-26-11:39:28.261;8.874073;9.038462;9.019232;9.138462;-2.766503;6.751893;1.608188E-05;10.0;10.0;8.0
2026-01-26-11:42:28.461;8.874073;9.050001;9.019231;9.138462;-2.76532;6.754258;1.608017E-05;10.1;10.1;8.0
2026-01-26-11:45:28.461;8.874073;9.038462;9.023077;9.142308;-2.77005;6.756623;1.608143E-05;10.0;10.0;8.100001
2026-01-26-11:48:28.661;8.88148;9.042309;9.023077;9.138462;-2.766503;6.758988;1.607978E-05;10.0;10.0;8.100001
2026-01-26-11:51:28.661;8.885184;9.046155;9.03077;9.146154;-2.76532;6.775544;1.608093E-05;10.1;10.1;8.100001
2026-01-26-11:54:28.861;8.877777;9.050001;9.03077;9.142309;-2.766503;6.768449;1.608191E-05;10.0;10.0;8.2
2026-01-26-11:57:28.861;8.885184;9.053847;9.026923;9.150001;-2.766503;6.768449;1.60819E-05;10.1;10.1;8.3
2026-01-26-12:00:29.061;8.88148;9.057693;9.023077;9.157693;-2.768868;6.775544;1.60804E-05;10.1;10.1;8.3
2026-01-26-12:03:29.061;8.896295;9.050001;9.034616;9.157694;-2.764138;6.782639;1.608202E-05;10.1;10.1;8.400001
2026-01-26-12:06:29.261;8.88148;9.06154;9.03077;9.153848;-2.764138;6.7921;1.608105E-05;10.2;10.2;8.400001
2026-01-26-12:09:29.261;8.896295;9.073078;9.038463;9.161539;-2.764138;6.803925;1.607981E-05;10.1;10.1;8.400001
2026-01-26-12:12:29.461;8.896296;9.069232;9.038463;9.150001;-2.762955;6.818116;1.60812E-05;10.2;10.2;8.400001
2026-01-26-12:15:29.461;8.91111;9.08077;9.03077;9.161539;-2.761773;6.825211;1.608259E-05;10.1;10.1;8.3
2026-01-26-12:18:29.661;8.899999;9.076924;9.038462;9.165384;-2.764138;6.827576;1.608074E-05;10.2;10.2;8.400001
2026-01-26-12:21:29.661;8.888887;9.065386;9.042309;9.161539;-2.76059;6.844132;1.608207E-05;10.2;10.2;8.400001
2026-01-26-12:24:29.761;8.914814;9.076924;9.050001;9.169231;-2.762955;6.853593;1.608208E-05;10.2;10.2;8.400001
2026-01-26-12:27:29.961;8.903703;9.076923;9.042309;9.169231;-2.758225;6.858323;1.608151E-05;10.2;10.2;8.400001
2026-01-26-12:31:02.543;8.914814;9.08077;9.050001;9.184615;-2.761773;6.858323;1.608379E-05;10.2;10.2;8.400001
2026-01-26-12:35:38.127;8.914814;9.096154;9.046155;9.176924;-2.76059;6.867783;1.608173E-05;10.2;10.2;8.5
2026-01-26-12:38:37.527;8.914814;9.1;9.046155;9.184615;-2.762955;6.867783;1.608545E-05;10.2;10.2;8.5
2026-01-26-12:41:37.528;8.918517;9.1;9.057694;9.192308;-2.76059;6.867783;1.608071E-05;10.2;10.2;8.5
